journal,mother_org_or_publisher
BMC oral health,BMC (Springer Nature)
BMC public health,BMC (Springer Nature)
BMJ evidence-based medicine,BMJ Publishing Group
BMJ health & care informatics,BMJ Publishing Group
BMJ mental health,BMJ Publishing Group
BMJ open,BMJ Publishing Group
BMJ open gastroenterology,BMJ Publishing Group
BMJ open quality,BMJ Publishing Group
Brain : a journal of neurology,Oxford University Press
Brain research bulletin,Elsevier
Breast cancer research : BCR,BMC (Springer Nature)
Breast cancer research and treatment,Springer Nature (Springer)
Briefings in bioinformatics,Oxford University Press
British journal of anaesthesia,Elsevier
Burns : journal of the International Society for Burn Injuries,the International Society for Burn Injuries
Cancer letters,Elsevier
Cancer research communications,American Association for Cancer Research (AACR)
Cancers,MDPI
Carcinogenesis,Oxford University Press
Cardiovascular and interventional radiology,Springer Nature (Springer)
Cell reports methods,Cell Press (Elsevier)
Cell reports. Medicine,Cell Press (Elsevier)
Cerebrovascular diseases extra,Unknown / needs verification
Chest,Elsevier – American College of Chest Physicians (CHEST)
"Children (Basel, Switzerland)",MDPI
Chinese medical journal,Unknown / needs verification
Ciencia & saude coletiva,Unknown / needs verification
Circulation. Arrhythmia and electrophysiology,American Heart Association – Wolters Kluwer
Circulation. Cardiovascular quality and outcomes,American Heart Association – Wolters Kluwer
Clinica chimica acta; international journal of clinical chemistry,Unknown / needs verification
Clinical & experimental optometry,Unknown / needs verification
Clinical and translational gastroenterology,Unknown / needs verification
Clinical and translational science,Unknown / needs verification
Clinical breast cancer,Unknown / needs verification
Clinical chemistry and laboratory medicine,De Gruyter
Clinical diabetes : a publication of the American Diabetes Association,American Diabetes Association (ADA)
Clinical epidemiology,Taylor & Francis (Dove Medical Press)
Clinical imaging,Elsevier
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Oxford University Press – IDSA
Clinical neuroradiology,Springer Nature (Springer)
Clinical oncology (Royal College of Radiologists (Great Britain)),Unknown / needs verification
"Clinical ophthalmology (Auckland, N.Z.)",Taylor & Francis (Dove Medical Press)
Clinical oral investigations,Springer Nature (Springer)
Clinical pharmacology and therapeutics,Unknown / needs verification
Cochrane evidence synthesis and methods,Cochrane
Communications biology,Nature Portfolio (Springer Nature)
Communications medicine,Nature Portfolio (Springer Nature)
Complex psychiatry,Unknown / needs verification
Computational and structural biotechnology journal,Unknown / needs verification
Computational biology and chemistry,Unknown / needs verification
"Computational psychiatry (Cambridge, Mass.)",Unknown / needs verification
Computer methods and programs in biomedicine,Unknown / needs verification
Computers in biology and medicine,Unknown / needs verification
CPT: pharmacometrics & systems pharmacology,Unknown / needs verification
Critical care explorations,Unknown / needs verification
Cureus,Springer Nature
Current problems in diagnostic radiology,Unknown / needs verification
Current research in translational medicine,Unknown / needs verification
Database : the journal of biological databases and curation,biological databases and curation
Dento maxillo facial radiology,Unknown / needs verification
Dermatologic surgery : official publication for American Society for Dermatologic Surgery [et al.],Unknown / needs verification
Diabetes care,American Diabetes Association (ADA)
Diabetes research and clinical practice,Elsevier
Diabetes technology & therapeutics,Mary Ann Liebert
"Diagnostic and interventional radiology (Ankara, Turkey)",Unknown / needs verification
"Diagnostics (Basel, Switzerland)",MDPI
Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver
Digestive diseases and sciences,Unknown / needs verification
Digital discovery,Unknown / needs verification
Digital health,SAGE Publishing
Drug and alcohol dependence,Elsevier
Drug and alcohol review,Wiley
Drug discovery today,Elsevier
Drug safety,Springer Nature (Springer)
Dysphagia,Unknown / needs verification
EClinicalMedicine,The Lancet (Elsevier)
Ecology and evolution,Unknown / needs verification
EJNMMI reports,Unknown / needs verification
Emergency radiology,Springer Nature (Springer)
Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,the American College of Endocrinology and the American Association of Clinical Endocrinologists
Endoscopy,Thieme
Environment international,Elsevier
Environmental health : a global access science source,BMC (Springer Nature)
Environmental science & technology,American Chemical Society (ACS Publications)
Epilepsia,Wiley
Epilepsy research,Unknown / needs verification
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery
European heart journal,Oxford University Press – European Society of Cardiology
European heart journal. Digital health,Oxford University Press – European Society of Cardiology
European journal of hospital pharmacy : science and practice,Unknown / needs verification
European journal of orthodontics,Unknown / needs verification
European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,the European Federation for Pharmaceutical Sciences
European journal of radiology,Elsevier
European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,the European Society of Surgical Oncology and the British Association of Surgical Oncology
European radiology,Springer Nature (Springer)
European radiology experimental,Springer Nature (Springer)
European stroke journal,SAGE Publishing
Ewha medical journal,Unknown / needs verification
Expert review of clinical pharmacology,Unknown / needs verification
Exploratory research in clinical and social pharmacy,Unknown / needs verification
"Eye (London, England)",Nature Portfolio (Springer Nature)
Family medicine,Unknown / needs verification
Foot & ankle specialist,SAGE Publishing
Frontiers in artificial intelligence,Frontiers Media SA
Frontiers in cardiovascular medicine,Frontiers Media SA
Frontiers in cell and developmental biology,Frontiers Media SA
Frontiers in dental medicine,Frontiers Media SA
Frontiers in digital health,Frontiers Media SA
Frontiers in genetics,Frontiers Media SA
Frontiers in medicine,Frontiers Media SA
Frontiers in neurology,Frontiers Media SA
Frontiers in neuroscience,Frontiers Media SA
Frontiers in nutrition,Frontiers Media SA
Frontiers in oncology,Frontiers Media SA
Frontiers in ophthalmology,Frontiers Media SA
Frontiers in pharmacology,Frontiers Media SA
Frontiers in psychiatry,Frontiers Media SA
Frontiers in psychology,Frontiers Media SA
Frontiers in public health,Frontiers Media SA
Gastro hep advances,Unknown / needs verification
Genome medicine,BMC (Springer Nature)
Genomics & informatics,Unknown / needs verification
Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany)),Unknown / needs verification
"Hand (New York, N.Y.)",Unknown / needs verification
"Handchirurgie, Mikrochirurgie, plastische Chirurgie : Organ der Deutschsprachigen Arbeitsgemeinschaft fur Handchirurgie : Organ der Deutschsprachigen Arbeitsgemeinschaft fur Mikrochirurgie der Peripheren Nerven und Gefasse : Organ der V...",Unknown / needs verification
Health informatics journal,SAGE Publishing
Health information science and systems,Unknown / needs verification
Health services research,Unknown / needs verification
"Healthcare (Basel, Switzerland)",MDPI
Healthcare informatics research,Unknown / needs verification
Hearing research,Elsevier
Hepatology communications,Wiley – AASLD
Hospital pediatrics,American Academy of Pediatrics (AAP)
IEEE International Conference on Rehabilitation Robotics : [proceedings],IEEE
IEEE journal of biomedical and health informatics,IEEE
IEEE transactions on bio-medical engineering,IEEE
IEEE transactions on computational biology and bioinformatics,IEEE
IEEE transactions on medical imaging,IEEE
IEEE transactions on neural networks and learning systems,IEEE
IEEE transactions on pattern analysis and machine intelligence,IEEE
IEEE transactions on visualization and computer graphics,IEEE
IET systems biology,Institution of Engineering and Technology (IET) – Wiley
Imaging science in dentistry,Unknown / needs verification
Industrial psychiatry journal,Unknown / needs verification
Inflammatory bowel diseases,Oxford University Press – Crohn's & Colitis Foundation
Injury,Elsevier
Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention,the International Society for Child and Adolescent Injury Prevention
Insights into imaging,Springer Nature (Springer)
Integrative medicine research,Unknown / needs verification
"Interdisciplinary sciences, computational life sciences",Unknown / needs verification
International dental journal,Unknown / needs verification
International health,Unknown / needs verification
International journal of cardiology,Elsevier
International journal of clinical pharmacy,Springer Nature (Springer)
International journal of computer assisted radiology and surgery,Springer Nature (Springer)
International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,the International Federation of Gynaecology and Obstetrics
International journal of health geographics,BMC (Springer Nature)
International journal of law and psychiatry,Elsevier
International journal of medical informatics,Elsevier
International journal of medical sciences,Ivyspring International Publisher
International journal of molecular sciences,MDPI
International journal of paediatric dentistry,Wiley
International journal of pharmaceutics,Elsevier
International journal of radiation biology,Taylor & Francis
"International journal of surgery (London, England)",Wolters Kluwer
International neurourology journal,Unknown / needs verification
International nursing review,Unknown / needs verification
iScience,Cell Press (Elsevier)
JACC. Advances,American College of Cardiology – Elsevier
JACC. Heart failure,American College of Cardiology – Elsevier
JAMA,American Medical Association (JAMA Network)
JAMA network open,American Medical Association (JAMA Network)
JAMA oncology,American Medical Association (JAMA Network)
JAMA psychiatry,American Medical Association (JAMA Network)
JAMIA open,Unknown / needs verification
Japan journal of nursing science : JJNS,Unknown / needs verification
Japanese journal of radiology,Unknown / needs verification
JCO clinical cancer informatics,Wolters Kluwer (Lippincott Williams & Wilkins) – ASCO
JCO global oncology,Wolters Kluwer (Lippincott Williams & Wilkins) – ASCO
JCO oncology practice,Wolters Kluwer (Lippincott Williams & Wilkins) – ASCO
JMIR aging,JMIR Publications
JMIR AI,JMIR Publications
JMIR biomedical engineering,JMIR Publications
JMIR cancer,JMIR Publications
JMIR formative research,JMIR Publications
JMIR human factors,JMIR Publications
JMIR medical education,JMIR Publications
JMIR medical informatics,JMIR Publications
JMIR nursing,JMIR Publications
JMIR research protocols,JMIR Publications
JMIR serious games,JMIR Publications
JMIRx med,JMIR Publications
JNCI cancer spectrum,Oxford University Press
Journal of advanced nursing,Wiley
Journal of affective disorders,Unknown / needs verification
Journal of applied clinical medical physics,Unknown / needs verification
Journal of assisted reproduction and genetics,Springer Nature (Springer)
Journal of biomedical informatics,Elsevier
Journal of biomedical physics & engineering,Unknown / needs verification
Journal of biomedical semantics,Unknown / needs verification
Journal of cardiovascular computed tomography,Unknown / needs verification
Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance,BMC (Springer Nature)
Journal of chemical information and modeling,American Chemical Society (ACS Publications)
Journal of clinical and experimental hepatology,Unknown / needs verification
Journal of clinical and translational science,Unknown / needs verification
Journal of clinical epidemiology,Unknown / needs verification
Journal of clinical medicine,MDPI
Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,the Neurosurgical Society of Australasia
Journal of clinical pathology,Unknown / needs verification
Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,the American Academy of Sleep Medicine
Journal of computer assisted tomography,Unknown / needs verification
Journal of critical care,Elsevier
Journal of dentistry,Elsevier
Journal of diabetes science and technology,SAGE Publishing
Journal of epidemiology and population health,Unknown / needs verification
Journal of evaluation in clinical practice,Unknown / needs verification
Journal of evidence-based medicine,Unknown / needs verification
Journal of evidence-based social work (2019),Unknown / needs verification
Journal of gastroenterology and hepatology,Unknown / needs verification
Journal of gynecology obstetrics and human reproduction,Unknown / needs verification
Journal of hand surgery global online,Unknown / needs verification
Journal of health economics and outcomes research,Unknown / needs verification
Journal of healthcare informatics research,Unknown / needs verification
Journal of hospital medicine,Unknown / needs verification
Journal of imaging,MDPI
Journal of imaging informatics in medicine,Springer Nature (Springer)
Journal of Indian Society of Periodontology,Unknown / needs verification
Journal of infection in developing countries,Unknown / needs verification
Journal of inherited metabolic disease,Unknown / needs verification
Journal of internal medicine,Wiley
Journal of laparoendoscopic & advanced surgical techniques. Part A,Mary Ann Liebert
Journal of magnetic resonance imaging : JMRI,Unknown / needs verification
Journal of medical Internet research,JMIR Publications
Journal of medical screening,Unknown / needs verification
Journal of medical signals and sensors,Unknown / needs verification
Journal of medical systems,Springer Nature (Springer)
Journal of medical ultrasonics (2001),Unknown / needs verification
Journal of minimally invasive gynecology,Elsevier
Journal of multidisciplinary healthcare,Taylor & Francis (Dove Medical Press)
Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,the North American Neuro-Ophthalmology Society
Journal of neurodevelopmental disorders,BMC (Springer Nature)
Journal of neurointerventional surgery,BMJ Publishing Group
Journal of neurology,Springer Nature (Springer)
Journal of neurosurgery. Spine,Unknown / needs verification
Journal of neurotrauma,Mary Ann Liebert
Journal of nursing scholarship : an official publication of Sigma Theta Tau International Honor Society of Nursing,Wiley – Sigma Theta Tau International
Journal of occupational and environmental hygiene,Unknown / needs verification
Journal of ophthalmic & vision research,Unknown / needs verification
Journal of orthopaedic surgery and research,BMC (Springer Nature)
Journal of pain and symptom management,Elsevier
Journal of palliative medicine,Mary Ann Liebert
Journal of Parkinson's disease,IOS Press
Journal of patient experience,Unknown / needs verification
Journal of patient safety,Unknown / needs verification
Journal of perinatal medicine,Unknown / needs verification
Journal of personalized medicine,MDPI
Journal of pharmacokinetics and pharmacodynamics,Unknown / needs verification
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",Elsevier
Journal of psychopathology and clinical science,American Psychological Association (APA)
Journal of public health management and practice : JPHMP,Unknown / needs verification
Journal of racial and ethnic health disparities,Springer Nature (Springer)
Journal of rehabilitation and assistive technologies engineering,Unknown / needs verification
Journal of robotic surgery,Springer Nature (Springer)
Journal of the American College of Radiology : JACR,Elsevier – American College of Radiology
Journal of the American College of Surgeons,Elsevier
Journal of the American Heart Association,American Heart Association – Wiley
Journal of the American Medical Informatics Association : JAMIA,Unknown / needs verification
Journal of thrombosis and haemostasis : JTH,Wiley – International Society on Thrombosis and Haemostasis (ISTH)
Journal of translational medicine,BMC (Springer Nature)
Journal of travel medicine,Oxford University Press
Journal of ultrasound in medicine : official journal of the American Institute of Ultrasound in Medicine,the American Institute of Ultrasound in Medicine
Journal of vascular and interventional radiology : JVIR,Elsevier
Journal of vascular surgery,Elsevier
Journal of women's health (2002),Mary Ann Liebert
Journal of wound care,Unknown / needs verification
Kidney medicine,Unknown / needs verification
Korean journal of radiology,Unknown / needs verification
La Radiologia medica,Springer Nature (Springer)
Langenbeck's archives of surgery,Springer Nature (Springer)
"Life (Basel, Switzerland)",MDPI
Liver international : official journal of the International Association for the Study of the Liver,Wiley – International Association for the Study of the Liver
Machine learning and knowledge extraction,MDPI
Machine learning with applications,Unknown / needs verification
Magnetic resonance imaging,Unknown / needs verification
Malaria journal,BMC (Springer Nature)
"Med (New York, N.Y.)",Cell Press (Elsevier)
Medical education,Wiley
Medical engineering & physics,Unknown / needs verification
Medical image analysis,Unknown / needs verification
Medical physics,Unknown / needs verification
Medical science educator,Unknown / needs verification
Medical teacher,Taylor & Francis
Military medicine,Unknown / needs verification
"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",Unknown / needs verification
Molecular autism,Unknown / needs verification
Molecular cytogenetics,Unknown / needs verification
Molecular diversity,Springer Nature (Springer)
Molecular imaging and biology,Springer Nature (Springer)
Muscle & nerve,Wiley
Nanotechnology,IOP Publishing
NAR genomics and bioinformatics,Oxford University Press
"Natural language processing and information systems : ... International Conference on Applications of Natural Language to Information Systems, NLDB ... revised papers. International Conference on Applications of Natural Language to Info...",Unknown / needs verification
Nature,Nature Portfolio (Springer Nature)
Nature and science of sleep,Taylor & Francis (Dove Medical Press)
Nature biomedical engineering,Nature Portfolio (Springer Nature)
Nature biotechnology,Nature Portfolio (Springer Nature)
Nature communications,Nature Portfolio (Springer Nature)
Nature medicine,Nature Portfolio (Springer Nature)
Nature methods,Nature Portfolio (Springer Nature)
NEJM AI,Massachusetts Medical Society (NEJM Group)
Neonatology,Unknown / needs verification
Neuro-oncology,Unknown / needs verification
Neuro-oncology advances,Unknown / needs verification
Neuroinformatics,Unknown / needs verification
Neurologia i neurochirurgia polska,Unknown / needs verification
Neurology. Clinical practice,Unknown / needs verification
Neuropathology and applied neurobiology,Unknown / needs verification
Neurosurgery,Unknown / needs verification
Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,the Society for Research on Nicotine and Tobacco
NPJ digital medicine,Nature Portfolio (Springer Nature)
npj health systems,Nature Portfolio (Springer Nature)
Npj mental health research,Nature Portfolio (Springer Nature)
NPJ Parkinson's disease,Nature Portfolio (Springer Nature)
NPJ precision oncology,Nature Portfolio (Springer Nature)
NPP - digital psychiatry and neuroscience,Unknown / needs verification
Nursing outlook,Unknown / needs verification
"Nursing reports (Pavia, Italy)",MDPI
Nutrients,MDPI
"Nutrition (Burbank, Los Angeles County, Calif.)",Unknown / needs verification
O&G open,Unknown / needs verification
Oncology,Unknown / needs verification
Open forum infectious diseases,Oxford University Press – IDSA
Ophthalmic plastic and reconstructive surgery,Wolters Kluwer (Lippincott Williams & Wilkins)
Ophthalmology and therapy,Unknown / needs verification
Ophthalmology science,Unknown / needs verification
Oral diseases,Wiley
Orthodontics & craniofacial research,Wiley
Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,SAGE Publishing – American Academy of Otolaryngology-Head and Neck Surgery
"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",Wolters Kluwer (Lippincott Williams & Wilkins)
Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,World Scientific
Pathology,Unknown / needs verification
"Pathology, research and practice",Unknown / needs verification
Patient education and counseling,Unknown / needs verification
Patient preference and adherence,Taylor & Francis (Dove Medical Press)
Pediatric radiology,Springer Nature (Springer)
Pediatrics,American Academy of Pediatrics (AAP)
PeerJ. Computer science,Unknown / needs verification
Perspectives in clinical research,Unknown / needs verification
Pharmacoepidemiology and drug safety,Unknown / needs verification
Pharmacological research,Unknown / needs verification
"Phenomics (Cham, Switzerland)",Unknown / needs verification
Physical and engineering sciences in medicine,Unknown / needs verification
Physics and imaging in radiation oncology,Unknown / needs verification
Plastic and reconstructive surgery. Global open,Wolters Kluwer (Lippincott Williams & Wilkins)
PLoS computational biology,Public Library of Science (PLOS)
PLOS digital health,Public Library of Science (PLOS)
PloS one,Public Library of Science (PLOS)
PNAS nexus,National Academy of Sciences – Oxford University Press
Polish archives of internal medicine,Unknown / needs verification
Prehospital emergency care,Taylor & Francis
Prenatal diagnosis,Wiley
Proceedings of machine learning research,PMLR
Proceedings of the ... International Conference on Automatic Face and Gesture Recognition. IEEE International Conference on Automatic Face & Gesture Recognition,IEEE
Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences (PNAS)
Progress in orthodontics,Springer Nature (Springer)
Prostate cancer and prostatic diseases,Nature Portfolio (Springer Nature)
PsyCh journal,Unknown / needs verification
Psychiatry research,Unknown / needs verification
"Psychological trauma : theory, research, practice and policy",American Psychological Association (APA)
Psychotherapy research : journal of the Society for Psychotherapy Research,Taylor & Francis – Society for Psychotherapy Research
Qualitative health research,SAGE Publishing
"Radiography (London, England : 1995)",Unknown / needs verification
Radiological physics and technology,Unknown / needs verification
Radiology,Radiological Society of North America (RSNA)
Radiology. Artificial intelligence,Radiological Society of North America (RSNA)
Radiology. Imaging cancer,Radiological Society of North America (RSNA)
Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Elsevier – ESTRO
Recenti progressi in medicina,Unknown / needs verification
Regional anesthesia and pain medicine,BMJ Publishing Group
Renal failure,Taylor & Francis
Research and practice in thrombosis and haemostasis,Wiley – International Society on Thrombosis and Haemostasis (ISTH)
Research in developmental disabilities,Unknown / needs verification
"Schizophrenia (Heidelberg, Germany)",Nature Portfolio (Springer Nature)
Schizophrenia bulletin,Unknown / needs verification
Schizophrenia research,Unknown / needs verification
Science advances,American Association for the Advancement of Science (AAAS)
Science progress,SAGE Publishing
Scientific data,Nature Portfolio (Springer Nature)
Scientific reports,Nature Portfolio (Springer Nature)
Seizure,Elsevier
"Sensors (Basel, Switzerland)",MDPI
Sexually transmitted diseases,Wolters Kluwer (Lippincott Williams & Wilkins)
Skeletal radiology,Springer Nature (Springer)
SLAS technology,Unknown / needs verification
Sleep,Oxford University Press
Sleep medicine,Elsevier
Stroke,American Heart Association – Wolters Kluwer
Studies in health technology and informatics,IOS Press
Surgery,Unknown / needs verification
Surgical endoscopy,Springer Nature (Springer)
Surgical neurology international,Scientific Scholar (James I. & Carolyn R. Ausman Educational Foundation)
Taiwanese journal of obstetrics & gynecology,Unknown / needs verification
Telemedicine journal and e-health : the official journal of the American Telemedicine Association,the American Telemedicine Association
The American journal of clinical nutrition,Unknown / needs verification
The American journal of emergency medicine,Unknown / needs verification
The American journal of gastroenterology,Unknown / needs verification
The archives of bone and joint surgery,Unknown / needs verification
The bone & joint journal,Unknown / needs verification
The British journal of ophthalmology,Unknown / needs verification
The British journal of radiology,British Institute of Radiology – Oxford University Press
The Clinical neuropsychologist,Unknown / needs verification
The international journal of cardiovascular imaging,Unknown / needs verification
The Israel Medical Association journal : IMAJ,Unknown / needs verification
The journal of allergy and clinical immunology. In practice,Unknown / needs verification
The journal of applied laboratory medicine,Unknown / needs verification
The Journal of arthroplasty,Unknown / needs verification
The Journal of bone and joint surgery. American volume,Unknown / needs verification
The Journal of craniofacial surgery,Unknown / needs verification
The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,the Histochemistry Society
The Journal of infection,Unknown / needs verification
The Journal of investigative dermatology,Unknown / needs verification
The Journal of nursing education,Unknown / needs verification
The journal of pathology. Clinical research,Unknown / needs verification
The journal of prevention of Alzheimer's disease,Unknown / needs verification
The Journal of prosthetic dentistry,Unknown / needs verification
The Journal of thoracic and cardiovascular surgery,Unknown / needs verification
"The journals of gerontology. Series A, Biological sciences and medical sciences",Unknown / needs verification
The Lancet. Digital health,The Lancet (Elsevier)
The Laryngoscope,Unknown / needs verification
The New Zealand medical journal,Unknown / needs verification
Therapeutic advances in drug safety,SAGE Publishing
Tobacco control,BMJ Publishing Group
"Tomography (Ann Arbor, Mich.)",Unknown / needs verification
"Transfusion medicine (Oxford, England)",Unknown / needs verification
Translational psychiatry,Nature Portfolio (Springer Nature)
Translational vision science & technology,Unknown / needs verification
Trends in hearing,SAGE Publishing
United European gastroenterology journal,Unknown / needs verification
Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,the International Society for Pharmacoeconomics and Outcomes Research
Value in health regional issues,Unknown / needs verification
Virchows Archiv : an international journal of pathology,Unknown / needs verification
"Vision (Basel, Switzerland)",MDPI
World neurosurgery,Unknown / needs verification
"Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen",Unknown / needs verification
Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,Unknown / needs verification
Zhongguo gu shang = China journal of orthopaedics and traumatology,Unknown / needs verification
